,ordertype,price,triggerprice,quantity,tradingsymbol,transactiontype,exchange,lotsize,cancelsize,averageprice,filledshares,unfilledshares,orderid,text,status,orderstatus,updatetime,exchtime,exchorderupdatetime,exchangeorderid
17,STOPLOSS_MARKET,3882,3881.95,175,TCS30MAY24FUT,BUY,NFO,175,175,0,0,175,240426000525381,,cancelled,cancelled,26-Apr-2024 15:20:15,26-Apr-2024 12:11:45,26-Apr-2024 15:20:15,2700000081828511
18,STOPLOSS_MARKET,1130.3,1130.35,625,AXISBANK30MAY24FUT,SELL,NFO,625,625,0,0,625,240426000525316,,cancelled,cancelled,26-Apr-2024 15:20:15,26-Apr-2024 12:11:43,26-Apr-2024 15:20:15,2500000081001664
19,STOPLOSS_MARKET,171.8,171.75,5500,TATASTEEL30MAY24FUT,BUY,NFO,5500,5500,0,0,5500,240426000525368,,cancelled,cancelled,26-Apr-2024 15:20:15,26-Apr-2024 12:11:45,26-Apr-2024 15:20:15,2700000081824871
20,LIMIT,8802.3,0,100,ULTRACEMCO30MAY24FUT,SELL,NFO,100,0,0,0,100,240426000992242,17070 : The Price is out of the current LPP range,rejected,rejected,26-Apr-2024 15:22:18,26-Apr-2024 15:22:18,,2300000159393190
21,LIMIT,4217.3,0,175,TCS30MAY24FUT,BUY,NFO,175,0,0,0,175,240426000992241,17070 : The Price is out of the current LPP range,rejected,rejected,26-Apr-2024 15:22:18,26-Apr-2024 15:22:18,,2700000157211109
22,LIMIT,184.05,0,5500,TATASTEEL30MAY24FUT,BUY,NFO,5500,0,0,0,5500,240426000992240,17070 : The Price is out of the current LPP range,rejected,rejected,26-Apr-2024 15:22:18,26-Apr-2024 15:22:18,,2700000157211108
23,LIMIT,1110.5,0,1425,TATAMOTORS30MAY24FUT,BUY,NFO,1425,0,0,0,1425,240426000992239,17070 : The Price is out of the current LPP range,rejected,rejected,26-Apr-2024 15:22:18,26-Apr-2024 15:22:18,,2700000157211107
24,LIMIT,3154.5,0,200,ASIANPAINT30MAY24FUT,BUY,NFO,200,0,0,0,200,240426000992237,17070 : The Price is out of the current LPP range,rejected,rejected,26-Apr-2024 15:22:18,26-Apr-2024 15:22:18,,2500000157568570
25,LIMIT,1588.85,0,400,INFY30MAY24FUT,BUY,NFO,400,0,0,0,400,240426000992238,17070 : The Price is out of the current LPP range,rejected,rejected,26-Apr-2024 15:22:18,26-Apr-2024 15:22:18,,2300000159393180
26,LIMIT,1470.3,0,800,ADANIPORTS30MAY24FUT,BUY,NFO,400,0,0,0,800,240426000992236,17070 : The Price is out of the current LPP range,rejected,rejected,26-Apr-2024 15:22:18,26-Apr-2024 15:22:18,,2500000157568569
27,MARKET,0,0,100,ULTRACEMCO30MAY24FUT,SELL,NFO,100,0,0,0,100,240426000998235,Fresh intraday orders are not allowed in the closing minutes. You can place an order with a different product type,rejected,rejected,26-Apr-2024 15:24:23,,,
28,LIMIT,0,0,1425,TATAMOTORS30MAY24FUT,BUY,NFO,1425,0,1008.5,1425,0,240426000998885,,complete,complete,26-Apr-2024 15:24:39,26-Apr-2024 15:24:39,26-Apr-2024 15:24:39,2700000157929048
29,LIMIT,0,0,200,ASIANPAINT30MAY24FUT,BUY,NFO,200,0,2867.3,200,0,240426000998888,,complete,complete,26-Apr-2024 15:24:39,26-Apr-2024 15:24:39,26-Apr-2024 15:24:39,2500000158468611
30,LIMIT,0,0,5500,TATASTEEL30MAY24FUT,BUY,NFO,5500,0,167.25,5500,0,240426000998884,,complete,complete,26-Apr-2024 15:24:39,26-Apr-2024 15:24:39,26-Apr-2024 15:24:39,2700000157928962
31,LIMIT,0,0,800,ADANIPORTS30MAY24FUT,BUY,NFO,400,0,1335.88,800,0,240426000998886,,complete,complete,26-Apr-2024 15:24:39,26-Apr-2024 15:24:39,26-Apr-2024 15:24:39,2500000158468522
32,LIMIT,0,0,175,TCS30MAY24FUT,BUY,NFO,175,0,3830.9,175,0,240426000998889,,complete,complete,26-Apr-2024 15:24:39,26-Apr-2024 15:24:39,26-Apr-2024 15:24:39,2700000157929095
33,LIMIT,0,0,400,INFY30MAY24FUT,BUY,NFO,400,0,1443.15,400,0,240426000998887,,complete,complete,26-Apr-2024 15:24:39,26-Apr-2024 15:24:39,26-Apr-2024 15:24:39,2300000160119655
34,MARKET,0,0,100,ULTRACEMCO30MAY24FUT,SELL,NFO,100,0,0,0,100,240426000998920,Fresh intraday orders are not allowed in the closing minutes. You can place an order with a different product type,rejected,rejected,26-Apr-2024 15:24:40,,,
35,LIMIT,0,0,100,ULTRACEMCO30MAY24FUT,SELL,NFO,100,0,9765.85,100,0,240426001000285,,complete,complete,26-Apr-2024 15:25:14,26-Apr-2024 15:25:14,26-Apr-2024 15:25:14,2300000160274256
